datasets1/00001.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00003.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00005.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00008.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00010.png: JAGGED_BOUNDARY (area=1911px, blobs=2, roughness=7.063)
datasets1/00011.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00012.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/00013.png: JAGGED_BOUNDARY (area=324px, blobs=1, roughness=4.238)
datasets1/00014.png: JAGGED_BOUNDARY (area=4034px, blobs=1, roughness=21.435)
datasets1/00016.png: JAGGED_BOUNDARY (area=6188px, blobs=2, roughness=8.284)
datasets1/00020.png: JAGGED_BOUNDARY (area=3464px, blobs=1, roughness=9.975)
datasets1/00021.png: JAGGED_BOUNDARY (area=5103px, blobs=4, roughness=3.671)
datasets1/00027.png: JAGGED_BOUNDARY (area=2121px, blobs=2, roughness=8.347)
datasets1/00029.png: JAGGED_BOUNDARY (area=688px, blobs=1, roughness=8.308)
datasets1/00030.png: JAGGED_BOUNDARY (area=225px, blobs=2, roughness=3.597)
datasets1/00031.png: JAGGED_BOUNDARY (area=6132px, blobs=4, roughness=3.627)
datasets1/00032.png: JAGGED_BOUNDARY (area=3959px, blobs=1, roughness=12.533)
datasets1/00035.png: JAGGED_BOUNDARY (area=18596px, blobs=1, roughness=3.555)
datasets1/00036.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/00040.png: JAGGED_BOUNDARY (area=7435px, blobs=4, roughness=3.633)
datasets1/00042.png: JAGGED_BOUNDARY (area=3052px, blobs=2, roughness=19.12)
datasets1/00043.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00044.png: JAGGED_BOUNDARY (area=4062px, blobs=2, roughness=11.569)
datasets1/00046.png: JAGGED_BOUNDARY (area=4592px, blobs=3, roughness=5.07)
datasets1/00050.png: JAGGED_BOUNDARY (area=2209px, blobs=2, roughness=8.592)
datasets1/00052.png: JAGGED_BOUNDARY (area=6602px, blobs=2, roughness=7.824)
datasets1/00056.png: JAGGED_BOUNDARY (area=2239px, blobs=2, roughness=7.329)
datasets1/00057.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00058.png: JAGGED_BOUNDARY (area=17489px, blobs=1, roughness=6.665)
datasets1/00059.png: JAGGED_BOUNDARY (area=3527px, blobs=1, roughness=22.238)
datasets1/00060.png: JAGGED_BOUNDARY (area=22330px, blobs=1, roughness=4.887)
datasets1/00061.png: JAGGED_BOUNDARY (area=989px, blobs=3, roughness=3.81)
datasets1/00063.png: JAGGED_BOUNDARY (area=4649px, blobs=3, roughness=5.044)
datasets1/00069.png: JAGGED_BOUNDARY (area=2048px, blobs=1, roughness=12.258)
datasets1/00071.png: JAGGED_BOUNDARY (area=2476px, blobs=2, roughness=7.827)
datasets1/00073.png: JAGGED_BOUNDARY (area=3636px, blobs=4, roughness=4.056)
datasets1/00077.png: JAGGED_BOUNDARY (area=1333px, blobs=2, roughness=7.221)
datasets1/00080.png: JAGGED_BOUNDARY (area=4224px, blobs=2, roughness=6.485)
datasets1/00082.png: JAGGED_BOUNDARY (area=3231px, blobs=1, roughness=13.055)
datasets1/00083.png: JAGGED_BOUNDARY (area=22593px, blobs=1, roughness=4.457)
datasets1/00084.png: JAGGED_BOUNDARY (area=3429px, blobs=3, roughness=5.281)
datasets1/00085.png: JAGGED_BOUNDARY (area=1222px, blobs=2, roughness=5.86)
datasets1/00087.png: JAGGED_BOUNDARY (area=2285px, blobs=2, roughness=7.946)
datasets1/00088.png: JAGGED_BOUNDARY (area=17407px, blobs=1, roughness=3.57)
datasets1/00089.png: JAGGED_BOUNDARY (area=3748px, blobs=3, roughness=3.687)
datasets1/00091.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00092.png: JAGGED_BOUNDARY (area=1150px, blobs=2, roughness=7.58)
datasets1/00093.png: JAGGED_BOUNDARY (area=20339px, blobs=1, roughness=5.291)
datasets1/00095.png: JAGGED_BOUNDARY (area=5879px, blobs=2, roughness=8.737)
datasets1/00096.png: JAGGED_BOUNDARY (area=628px, blobs=1, roughness=8.031)
datasets1/00098.png: JAGGED_BOUNDARY (area=18495px, blobs=1, roughness=6.924)
datasets1/00100.png: JAGGED_BOUNDARY (area=3994px, blobs=4, roughness=4.145)
datasets1/00101.png: JAGGED_BOUNDARY (area=3449px, blobs=3, roughness=3.607)
datasets1/00106.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00107.png: JAGGED_BOUNDARY (area=22297px, blobs=1, roughness=4.556)
datasets1/00108.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
